📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:10:10] State: CLOSED | Failures: 0 | Requests: 146 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:10:15] State: CLOSED | Failures: 0 | Requests: 146 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:10:20] State: CLOSED | Failures: 0 | Requests: 146 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:10:25] State: CLOSED | Failures: 0 | Requests: 147 | Success: 100.00% | Avg: 4.22ms
[2025-08-20 21:10:30] State: CLOSED | Failures: 0 | Requests: 147 | Success: 100.00% | Avg: 4.22ms
[2025-08-20 21:10:35] State: CLOSED | Failures: 0 | Requests: 147 | Success: 100.00% | Avg: 4.22ms
[2025-08-20 21:10:40] State: CLOSED | Failures: 0 | Requests: 148 | Success: 100.00% | Avg: 4.20ms
[2025-08-20 21:10:45] State: CLOSED | Failures: 0 | Requests: 148 | Success: 100.00% | Avg: 4.20ms
[2025-08-20 21:10:50] State: CLOSED | Failures: 0 | Requests: 148 | Success: 100.00% | Avg: 4.20ms
[2025-08-20 21:10:55] State: CLOSED | Failures: 0 | Requests: 149 | Success: 100.00% | Avg: 4.18ms
[2025-08-20 21:11:00] State: CLOSED | Failures: 0 | Requests: 149 | Success: 100.00% | Avg: 4.18ms
[2025-08-20 21:11:05] State: CLOSED | Failures: 0 | Requests: 149 | Success: 100.00% | Avg: 4.18ms
[2025-08-20 21:11:10] State: CLOSED | Failures: 0 | Requests: 150 | Success: 100.00% | Avg: 4.17ms
[2025-08-20 21:11:15] State: CLOSED | Failures: 0 | Requests: 150 | Success: 100.00% | Avg: 4.17ms
[2025-08-20 21:11:20] State: CLOSED | Failures: 0 | Requests: 150 | Success: 100.00% | Avg: 4.17ms
[2025-08-20 21:11:25] State: CLOSED | Failures: 0 | Requests: 151 | Success: 100.00% | Avg: 4.15ms
[2025-08-20 21:11:30] State: CLOSED | Failures: 0 | Requests: 151 | Success: 100.00% | Avg: 4.15ms
[2025-08-20 21:11:35] State: CLOSED | Failures: 0 | Requests: 151 | Success: 100.00% | Avg: 4.15ms
[2025-08-20 21:11:40] State: CLOSED | Failures: 0 | Requests: 152 | Success: 100.00% | Avg: 4.13ms
[2025-08-20 21:11:45] State: CLOSED | Failures: 0 | Requests: 152 | Success: 100.00% | Avg: 4.13ms
[2025-08-20 21:11:50] State: CLOSED | Failures: 0 | Requests: 152 | Success: 100.00% | Avg: 4.13ms
